군구별(1),세대 및 인구별(1),세대 및 인구별(2),세대 및 인구별(3),2017,2018,2019
계양구,등록인구 (명),한국인,소계,323784,312680,303471
계양구,등록인구 (명),한국인,남,161925,156128,151569
계양구,등록인구 (명),한국인,여,161859,156552,151902
계양구,등록인구 (명),외국인,소계,3108,3223,3346
계양구,등록인구 (명),외국인,남,1380,1446,1506
계양구,등록인구 (명),외국인,여,1728,1777,1840
계양구,세대당인구 (명),소계,소계,2.6,2.54,2.49
계양구,65세 이상 고령자 (명),소계,소계,31729,33119,35043
계양구,평균연령 (세),소계,소계,40.2,41.3,42.2
계양구,인구밀도 (명/㎢),소계,소계,7173,6932,6733
계양구,인구밀도 (명/㎢),면적 (㎢),소계,45.57,45.57,45.57
서구,세대수 (세대),소계,소계,199152,211847,217887
서구,등록인구 (명),총수,소계,527935,551311,557415
서구,등록인구 (명),총수,남,268924,280945,283696
서구,등록인구 (명),총수,여,259011,270366,273719
서구,등록인구 (명),한국인,소계,516017,538596,544556
서구,등록인구 (명),한국인,남,260649,272153,274942
서구,등록인구 (명),한국인,여,255368,266443,269614
서구,등록인구 (명),외국인,소계,11918,12715,12859
서구,등록인구 (명),외국인,남,8275,8792,8754
서구,등록인구 (명),외국인,여,3643,3923,4105
서구,세대당인구 (명),소계,소계,2.65,2.6,2.56
서구,65세 이상 고령자 (명),소계,소계,46129,49975,53691
서구,평균연령 (세),소계,소계,38.4,39,39.6
서구,인구밀도 (명/㎢),소계,소계,4516,4709,4761
서구,인구밀도 (명/㎢),면적 (㎢),소계,116.91,117.08,117.09
강화군,세대수 (세대),소계,소계,31869,32556,33163
강화군,등록인구 (명),총수,소계,69543,69726,70037
강화군,등록인구 (명),총수,남,35016,35084,35238
강화군,등록인구 (명),총수,여,34527,34642,34799
강화군,등록인구 (명),한국인,소계,68754,68896,69178
강화군,등록인구 (명),한국인,남,34509,34546,34665
강화군,등록인구 (명),한국인,여,34245,34350,34513
강화군,등록인구 (명),외국인,소계,789,830,859
강화군,등록인구 (명),외국인,남,507,538,573
강화군,등록인구 (명),외국인,여,282,292,286
강화군,세대당인구 (명),소계,소계,2.18,2.14,2.11
강화군,65세 이상 고령자 (명),소계,소계,20451,21148,21902
강화군,평균연령 (세),소계,소계,50.9,51.7,52.2
강화군,인구밀도 (명/㎢),소계,소계,169,169,170
강화군,인구밀도 (명/㎢),면적 (㎢),소계,411.43,411.43,411.43
옹진군,세대수 (세대),소계,소계,11888,11746,11689
옹진군,등록인구 (명),총수,소계,21741,21227,20791
옹진군,등록인구 (명),총수,남,12343,12064,11843
옹진군,등록인구 (명),총수,여,9398,9163,8948
옹진군,등록인구 (명),한국인,소계,21573,21036,20566
옹진군,등록인구 (명),한국인,남,12225,11928,11678
옹진군,등록인구 (명),한국인,여,9348,9108,8888
옹진군,등록인구 (명),외국인,소계,168,191,225
옹진군,등록인구 (명),외국인,남,118,136,165
옹진군,등록인구 (명),외국인,여,50,55,60
옹진군,세대당인구 (명),소계,소계,1.83,1.81,1.78
옹진군,65세 이상 고령자 (명),소계,소계,4836,4965,5125
옹진군,평균연령 (세),소계,소계,47.4,48.2,48.9
옹진군,인구밀도 (명/㎢),소계,소계,126,123,120
옹진군,인구밀도 (명/㎢),면적 (㎢),소계,172.88,172.88,172.88
